,accounts,ch,chamber,id,name,party,screen_name,state,type
95,"{'office': [{'id': 88806753, 'id_str': '88806753', 'screen_name': 'RepGaramendi'}], 'campaign': [{'id': 18907463, 'id_str': '18907463', 'screen_name': 'JohnGaramendi'}], 'index': 59}",no,house,"{'bioguide': 'G000559', 'govtrack': 412382}",John Garamendi,D,RepGaramendi,CA,member
96,"{'office': [{'id': 88806753, 'id_str': '88806753', 'screen_name': 'RepGaramendi'}], 'campaign': [{'id': 18907463, 'id_str': '18907463', 'screen_name': 'JohnGaramendi'}], 'index': 59}",yes,house,"{'bioguide': 'G000559', 'govtrack': 412382}",John Garamendi,D,JohnGaramendi,CA,member
97,"{'office': [{'id': 1260172386, 'id_str': '1260172386', 'screen_name': 'RepJuanVargas'}], 'index': 60}",no,house,"{'bioguide': 'V000130', 'govtrack': 412522}",Juan Vargas,D,RepJuanVargas,CA,member
98,"{'office': [{'id': 193732179, 'id_str': '193732179', 'screen_name': 'RepJudyChu'}], 'campaign': [{'id': 793208286, 'id_str': '793208286', 'screen_name': 'JudyChuCampaign'}], 'index': 61}",no,house,"{'bioguide': 'C001080', 'govtrack': 412379}",Judy Chu,D,RepJudyChu,CA,member
99,"{'office': [{'id': 193732179, 'id_str': '193732179', 'screen_name': 'RepJudyChu'}], 'campaign': [{'id': 793208286, 'id_str': '793208286', 'screen_name': 'JudyChuCampaign'}], 'index': 61}",yes,house,"{'bioguide': 'C001080', 'govtrack': 412379}",Judy Chu,D,JudyChuCampaign,CA,member
100,"{'office': [{'id': 1243902714, 'id_str': '1243902714', 'screen_name': 'JuliaBrownley26'}], 'campaign': [{'id': 44251742, 'id_str': '44251742', 'screen_name': 'JuliaBrownley'}], 'index': 62}",no,house,"{'bioguide': 'B001285', 'govtrack': 412516}",Julia Brownley,D,JuliaBrownley26,CA,member
101,"{'office': [{'id': 1243902714, 'id_str': '1243902714', 'screen_name': 'JuliaBrownley26'}], 'campaign': [{'id': 44251742, 'id_str': '44251742', 'screen_name': 'JuliaBrownley'}], 'index': 62}",yes,house,"{'bioguide': 'B001285', 'govtrack': 412516}",Julia Brownley,D,JuliaBrownley,CA,member
102,"{'office': [{'id': 239949176, 'id_str': '239949176', 'screen_name': 'RepKarenBass'}], 'campaign': [{'id': 113494390, 'id_str': '113494390', 'screen_name': 'KarenBassTweets'}], 'index': 63}",no,house,"{'bioguide': 'B001270', 'govtrack': 412404}",Karen Bass,D,RepKarenBass,CA,member
103,"{'office': [{'id': 239949176, 'id_str': '239949176', 'screen_name': 'RepKarenBass'}], 'campaign': [{'id': 113494390, 'id_str': '113494390', 'screen_name': 'KarenBassTweets'}], 'index': 63}",yes,house,"{'bioguide': 'B001270', 'govtrack': 412404}",Karen Bass,D,KarenBassTweets,CA,member
104,"{'office': [{'id': 22545491, 'id_str': '22545491', 'screen_name': 'KenCalvert'}], 'campaign': [{'id': 138553197, 'id_str': '138553197', 'screen_name': 'TeamCalvert'}], 'index': 64}",no,house,"{'bioguide': 'C000059', 'govtrack': 400057}",Ken Calvert,R,KenCalvert,CA,member
105,"{'office': [{'id': 22545491, 'id_str': '22545491', 'screen_name': 'KenCalvert'}], 'campaign': [{'id': 138553197, 'id_str': '138553197', 'screen_name': 'TeamCalvert'}], 'index': 64}",yes,house,"{'bioguide': 'C000059', 'govtrack': 400057}",Ken Calvert,R,TeamCalvert,CA,member
