,ch,chamber,name,party,screen_name,state,type
440,yes,house,Alma Adams,D,AlmaforCongress,NC,member
441,no,house,David Price,D,RepDavidEPrice,NC,member
442,yes,house,David Price,D,DPrice4Congress,NC,member
443,no,house,David Rouzer,R,RepDavidRouzer,NC,member
444,yes,house,David Rouzer,R,DavidRouzer,NC,member
445,no,house,G.K. Butterfield,D,GKButterfield,NC,member
446,no,house,George Holding,R,RepHolding,NC,member
447,yes,house,George Holding,R,GeorgeHolding,NC,member
448,no,house,Mark Meadows,R,RepMarkMeadows,NC,member
449,yes,house,Mark Meadows,R,VoteMeadows,NC,member
450,no,house,Mark Walker,R,RepMarkWalker,NC,member
451,yes,house,Mark Walker,R,Walker4NC,NC,member
452,no,house,Patrick McHenry,R,PatrickMcHenry,NC,member
453,yes,house,Patrick McHenry,R,McHenryCampaign,NC,member
454,no,house,Richard Hudson,R,RepRichHudson,NC,member
455,yes,house,Richard Hudson,R,RichHudson,NC,member
456,no,house,Robert Pittenger,R,reppittenger,NC,member
457,yes,house,Robert Pittenger,R,RobertPittenger,NC,member
458,no,house,Ted Budd,R,RepTedBudd,NC,member
